nameAr,nameEn,cuisineId,governorate,primaryLocationAr,priceCategory,overallRating,description,branchNameAr,districtNameAr,latitude,longitude,phoneNumber,operatingHoursAr,avgMealPrice,avgCoffeePrice,shishaPrice,instagramUrl,facebookUrl,menuUrl
مطاعم الوادي الأخضر,Premium Place,1,محافظة العاصمة (عمان),عمان,$$$,4.6,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,32.2570264,35.886932,790000000,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
إستراحة قصر الأزرق,Azraq Palace,1,محافظة العاصمة (عمان),عمان,$$$,4.7,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.8606037,36.8195186,799315070,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
ستاربكس,Starbucks,2,محافظة العاصمة (عمان),عمان,$$,4.1,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.942145,35.8898782,790000000,10:00 ص - 11:00 م,4,2.5,4.5,https://instagram.com,https://facebook.com,https://example.com/menu
مطعم عفرا,Afra Restaurant,1,محافظة العاصمة (عمان),عمان,$$$,4.3,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.9522077,35.9327452,790000000,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
مطعم حكاية نيبو,Hekayet Nebo Restaurant,1,محافظة العاصمة (عمان),عمان,$$$,4.7,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.7672449,35.7400577,790000000,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
جنين,Jeneen,1,محافظة العاصمة (عمان),عمان,$$$,4.8,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,32.01548,35.8670519,790000000,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
مطعم مشاوي في البلد عمان,Premium Place,1,محافظة العاصمة (عمان),عمان,$$$,4.7,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.9515193,35.9320434,790000000,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
السابع,Premium Place,2,محافظة العاصمة (عمان),عمان,$$,4.9,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.9569372,35.857771,790000000,10:00 ص - 11:00 م,4,2.5,4.5,https://instagram.com,https://facebook.com,https://example.com/menu
مطعم الخال,Khal Restaurant,1,محافظة العاصمة (عمان),عمان,$$$,4.1,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.9558376,35.9261438,790000000,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
جفرا,Premium Place,1,محافظة العاصمة (عمان),عمان,$$$,4.4,"من الأماكن المتميزة والمعتمدة في عمّان، يقدم خدمات راقية وجلسات مريحة تناسب الجميع.",الفرع الرئيسي,عمان,31.9522655,35.930743,790000000,10:00 ص - 11:00 م,12,1.5,0,https://instagram.com,https://facebook.com,https://example.com/menu
